لا زال	لازال	SP
كبير	كبير	UC
الشبيحه	الشبيحة	OT
يظن	يظن	UC
ان	أن	OH
ارواح	أرواح	OH
وآلام	وآلام	UC
الناس	الناس	UC
اقل	أقل	OH
كلفه	كلفة	OT
من	من	UC
تخليه	تخليه	UC
عن	عن	UC
منصبه	منصبه	UC
،	،	UC
فلذلك	فلذلك	UC
اذا	إذا	OH
كان	كان	UC
السوريون	السوريون	UC
لا	لا	UC
يرتضون	يرتضون	UC
بهذه	بهذه	UC
المعادله	المعادلة	OT
المهينه	المهينة	OT
،	،	UC
فعليهم	فعليهم	UC
ان	أن	OH
يهبوا	يهبوا	UC
هبه	هبة	OT
قويه	قوية	OT
واحده	واحدة	OT
وياخذو	ويأخذوا	OH+OM
حقوقهم	حقوقهم	UC
من	من	UC
هذه	هذه	UC
العصابه	العصابة	OT
عنوه	عنوة	OT
،	.	PC
اننا	إننا	OH
يا	يا	UC
أحبائي	أحبائي	UC
ندفع	ندفع	UC
ثمن	ثمن	UC
اكثر	أكثر	OH
من	من	UC
اربعين	أربعين	OH
عام	عاما	XC
ومن	ومن،	PM
الخنوع	الخنوع	UC
والذل	والذل،	PM
والثمن	والثمن	UC
سيكون	سيكون	UC
غاليا	غاليا	UC
ولكنه	ولكنه	UC
يستأهل	يستأهل	UC
هذه	هذه	UC
التضحيات	التضحيات	UC
تراهنون	تراهنون.	PM
يا	يا	UC
امريكان	أمريكان	OH
و يا	ويا	SP
اذنابهم	أذنابهم	OH
على	على	UC
مارس	مارس	UC
طيب	طيب،	PM
حاولوا	حاولوا	UC
ان	أن	OH
تضربوا	تضربوا	UC
امن	أمن	OH
الشام	الشام	UC
ليوم	ليوم،	PM
القيامة	القيامة	UC
لن	لن	UC
تستطيعوا	تستطيعون	XC
تعرفون	تعرفون،	PM
لماذا	لماذا ؟	PM
لان	لأن	OH
الله	الله	UC
تعالى	تعالى	UC
يحفظها	يحفظها	UC
بحفظه	بحفظه	UC
تعالى	تعالى	UC
لها	لها	UC
على	على.	PM
كل	كل	UC
سننتظر	سننتظر	UC
و سترون	وسترون	SP
كيف	كيف	UC
سنحمل	سنحمل	UC
الرئيس	الرئيس	UC
الاسد	الأسد	OH
على	على	UC
الاكتاف	الأكتاف	OH
وكل	وكل	UC
المقاومين	المقاومين	UC
سيصرخون	سيصرخون	UC
صرخات	صرخات	UC
تهو	تهز	OR
العالم	العالم	UC
من	من	UC
ساحة	ساحة	UC
الامويين	الأمويين	OH
يشاع	يشاع.	PM
إعتقاد	اعتقاد	OH
في	في	UC
المجال	المجال	UC
الجنائي	الجنائي	UC
أن	أن	UC
