لا زال	لا زال	UC
كبير	كبير	UC
الشبيحه	الشبيحة	OT
يظن	يظن	UC
ان	أن	OH
ارواح	أرواح ،	OH+PM
وآلام	والأم	OH+OR
الناس	الناس	UC
اقل	أقل	OH
كلفه	كلفة	OT
من	من	UC
تخليه	تخليه	UC
عن	عن	UC
منصبه	منصبه	UC
،	،	UC
فلذلك	فلذلك	UC
اذا	إذا	OH
كان	كان	UC
السوريون	السوريون	UC
لا	لا	UC
يرتضون	يرتضون	UC
بهذه	بهذه	UC
المعادله	المعادلة	OT
المهينه	المهينة	OT
،	،	UC
فعليهم	فعليهم	UC
ان	أن	OH
يهبوا	يهبوا	UC
هبه	هبة	OT
قويه	قوية	OT
واحده	واحدة ،	PM+OT
وياخذو	ويأخذوا	OH+OM
حقوقهم	حقوقهم	UC
من	من	UC
هذه	هذه	UC
العصابه	العصابة	OT
عنوه	عنوه	UC
،	،	UC
اننا	أننا	OH
يا	يا	UC
أحبائي	أحبائي	UC
ندفع	ندفع	UC
ثمن	ثمن	UC
اكثر	أكثر	OH
من	من	UC
اربعين	أربعين	OH
عام	عام	UC
ومن	ومن،	PM
الخنوع	الخنوع	UC
والذل	والذل،	PM
والثمن	والثمن،	PM
سيكون	سيكون	UC
غاليا	غاليا	UC
ولكنه	ولكنه،	PM
يستأهل	يستأهل	UC
هذه	هذه	UC
التضحيات	التضحيات	UC
تراهنون	تراهنون.	PM
يا	يا	UC
امريكان	أمريكان	OH
و يا	ويا،	PM+SP
اذنابهم	أذنابهم	OH
على	على	UC
مارس	مارس	UC
طيب	طيب	UC
حاولوا	حاولوا	UC
ان	أن	OH
تضربوا	تضربوا	UC
امن	أمن	OH
الشام	الشام	UC
ليوم	ليوم	UC
القيامة	القيامة	UC
لن	لن	UC
تستطيعوا	تستطيعوا	UC
تعرفون	تعرفون	UC
لماذا	لماذا	UC
لان	لأن	OH
الله	الله	UC
تعالى	تعالى	UC
يحفظها	يحفظها	UC
بحفظه	بحفظه	UC
تعالى	تعالى	UC
لها	لها	UC
على	على	UC
كل	كل	UC
سننتظر	سننتظر ،	PM
و سترون	وسترون	SP
كيف	كيف	UC
سنحمل	سنحمل	UC
الرئيس	الرئيس	UC
الاسد	الأسد	OH
على	على	UC
الاكتاف	الأكتاف	OH
وكل	وكل،	PM
المقاومين	المقاومين	UC
سيصرخون	سيصرخون	UC
صرخات	صرخات	UC
تهو	تهم	OR
العالم	العالم	UC
من	من	UC
ساحة	ساحة	UC
الامويين	الأمويين	OH
يشاع	يشاع.	PM
إعتقاد	اعتقاد	OH
في	في	UC
المجال	المجال	UC
الجنائي	الجنائي	UC
أن	أن	UC
اللص	اللص	UC
لا	لا	UC
يميل	يميل	UC
غالبا	غالبا	UC
إلى	إلى	UC
القتل	القتل	UC
ذلك	ذلك	UC
أن	أن	UC
بنيته	بنيته	UC
النفسية	النفسية	UC
تختلف	تختلف	UC
عن	عن	UC
مثيلتها	مثيلتها	UC
لدى	لدى	UC
القاتل	القاتل	UC
المجرم	المجرم	UC
لكن	لكن	UC
الأحداث	الأحداث	UC
في	في	UC
سوريا	سوريا	UC
دحضت	دحضت	UC
كليا	كليا	UC
هذا	هذا	UC
الزعم	الزعم	UC
،	،	UC
فقد	فقد	UC
شهد	شهد	UC
الجميع	الجميع	UC
كيف	كيف	UC
تحول	تحول	UC
لصوص	لصوص	UC
النظام	النظام	UC
الأسدي	الأسدي	UC
الذين	الذين	UC
نهبوا	نهبوا	UC
البلد	البلد	UC
إلى	إلى	UC
مجرمين	مجرمين	UC
شرسين	شرسين	UC
يقترفون	يقترفون	UC
أبشع	أبشع	UC
أشكال	أشكال	UC
الفظائع	الفظائع	UC
التي	التي	UC
قل	قل	UC
أن	أن	UC
شهد	شهد	UC
لها	لها	UC
تاريخ	تاريخ	UC
الأمم	الأمم	UC
المتحضرة	المتحضرة	UC
مثيلا	مثيلا	UC
تعجبني	تعجبني.	PM
المظاهرات	المظاهرات	UC
في	في	UC
حمص	حمص	UC
هنا	هنا	UC
وهناك	وهناك،	PM
مثل	مثل	UC
ما	ما	UC
راينا	رأينا	OH
في	في	UC
دير	دير	UC
بعلبة	بعلبة	UC
طبعا	طبعا	UC
كشف	كشف	UC
النظام	النظام	UC
السوري	السوري	UC
عن	عن	UC
وجود	وجود	UC
اماكن	أماكن	OH
للتعذيب	للتعذيب	UC
و للتقطيع	وللتقطيع	SP
طبعا	طبعا	UC
بالتاكيد	بالتأكيد	OH
هذه	هذه	UC
لمن	لمن	UC
يفتح	يفتح	UC
محله	محله	UC
او	أو	OH
يجلس	يجلس	UC
في	في	UC
بيته	بيته	UC
ولا	ولا،	PM
ينزل	ينزل	UC
لمظاهرة	لمظاهرة	UC
او	أو	OH
لمن	لمن	UC
يقول	يقول	UC
عاش	عاش	UC
الوطن	الوطن	UC
ابيا	أبيا	OH
سالما	سالما	UC
فبالفعل	فبالفعل،	PM
واسفاه	وأسفاه،	OH+PM
على	على	UC
من	من	UC
تبع	تبع	UC
هذه	هذه	UC
الفورة	الفورة	UC
وصدقها	وصدقها،	PM
و ساند	وساند	SP
اذيالها	أذيالها	OH
الى	إلى.	OH+PM
مشاركه	مشاركة	OT
56	56	UC
انت	أنت	OH
تتكلم	تتكلم	UC
بالعكس	بالعكس	UC
الاحرار	الأحرار	OH
هم	هم	UC
الذين	الذين	UC
لايخافون	لا يخافون	MG
لانهم	لأنهم	OH
انشقوا	انشقوا	UC
لرفضهم	لرفضهم	UC
قتل	قتل	UC
الانفس	الأنفس	OH
البريئه	البريئة	OT
اما	أما	OH
جيشك	جيشك	UC
الذي	الذي	UC
تتكلم	تتكلم	UC
عنه	عنه	UC
وشبيحتك	وشبيحتك،	PM
هم	هم	UC
الارانب	الأرانب	OH
لانه	لأنه	OH
يتم	يتم	UC
جرهم	جرهم	UC
الى	إلى	OH
المواجهة	المواجهة	UC
مع	مع	UC
الاحرار	الأحرار	OH
جر	جر	UC
مقابل	مقابل	UC
2000	2000	UC
ليره	ليرة	OT
باليوم	باليوم	UC
وهذا	وهذا،	PM
كل	كل	UC
الناس	الناس	UC
بتعرفوا	بتعرفوا	UC
أسماء	أسماء.	PM
شهداء	شهداء	UC
الحرية	الحرية	UC
من	من	UC
الشعب	الشعب	UC
الأعزل	الأعزل	UC
الذي	الذي	UC
قتل	قتل	UC
على	على	UC
أيدي	أيدي	UC
الشبيحة	الشبيحة	UC
والمخابرات	والمخابرات،	PM
في	في	UC
سورية	سورية	UC
هو	هو	UC
3500	3500	UC
موثقة	موثقة	UC
لدى	لدى	UC
منظمة	منظمة	UC
حقوق	حقوق	UC
الإنسان	الإنسان	UC
في	في	UC
جنيف	جنيف	UC
والتابعة	والتابعة،	PM
للأمم	للأمم	UC
المتحدة	المتحدة	UC
.	.	UC
هذا	هذا	UC
الرسمي	الرسمي	UC
أما	أما	UC
العدد	العدد	UC
الحقيقي	الحقيقي	UC
يتجاوز	يتجاوز	UC
الخمسة	الخمسة	UC
آلاف	آلاف	UC
شهيد	شهيد	UC
في	في	UC
الشوارع	الشوارع	UC
والبيوت	والبيوت،	PM
المهاجمة	المهاجمة	UC
.	.	UC
وهناك	وهناك	UC
الآلاف	الآلاف	UC
ماتوا	ماتوا	UC
في	في	UC
أقبية	أقبية	UC
التعذيب	التعذيب	UC
.	.	UC
الله	الله	UC
يرحمهم	يرحمهم	UC
جميعا	جميعا	UC
وعقبال	وعقبال،	PM
عندك	عندك	UC
لكن	لكن	UC
من	من	UC
دون	دون	UC
رحمة	رحمة	UC
.	.	UC
اخر	آخر	OH
ايامك	أيامك	OH
يا	يا	UC
بشار	بشار	UC
يا	يا	UC
احرار	أحرار	OH
سوريا	سوريا	UC
لم	لم	UC
يبقى	يبقى	UC
عليكم	عليكم	UC
الا	إلا	OH
ان	أن	OH
تكبرو	تكبرو	UC
لبيك	لبيك	UC
اللهم	اللهم	UC
لبيك	لبيك	UC
لبيك	لبيك	UC
لا	لا	UC
شريك	شريك	UC
لك	لك	UC
لبيك	لبيك	UC
ان	أن	OH
الحمد	الحمد	UC
والنعمة	والنعمة،	PM
لك	لك	UC
والملك	والملك،	PM
لا	لا	UC
شريك	شريك	UC
لك	لك	UC
النصر	النصر	UC
اتي	أتى	SW
يا	يا	UC
احرار	أحرار	OH
سوريا	سوريا	UC
لا	لا	UC
محال	محال	UC
صلو	صلو ،	PM
وادعو	وأدعو	OH
ان	أن	OH
الله	الله	UC
يجب	يجب	UC
دعوة	دعوة	UC
الداعي	الداعي	UC
اذا	إذا	OH
دعا	دعا	UC
يا	يا	UC
رب	رب	UC
الفرج	الفرج	UC
امين	آمين	OH
امين	آمين	OH
امين	آمين	OH
اثبت	أثبت.	OH+PM
النظام	النظام	UC
السوري	السوري	UC
انه	أنه	OH
اسد	أسد	OH
على	على	UC
شعبه	شعبه ،	PM
و في	وفي	SP
الحروب	الحروب	UC
نعامة	نعامة	UC
,	،	PC
في	في	UC
حرب	حرب	UC
عام	عام	UC
73	73	UC
اوقف	أوقف	OH
جيش	جيش	UC
العراق	العراق	UC
الشقيق	الشقيق	UC
الهجوم	الهجوم	UC
الكبير	الكبير	UC
الاسرائيلي	الإسرائيلي	OH
على	على	UC
سوري	سوري ،	PM
فماكان	فما كان	MG
من	من	UC
النظام	النظام	UC
السوري	السوري	UC
العميل	العميل	UC
الا	إلا	OH
ان	أن	OH
يساند	يساند	UC
ايران	إيران	OH
ضد	ضد	UC
العراق	العراق	UC
الحبيب	الحبيب	UC
خلال	خلال	UC
حرب	حرب	UC
الثمانينات	الثمانينات	UC
كرد	كرد	UC
الجميل	الجميل	UC
للعراق	للعراق	UC
.	....	PC
.		PT
.		PT
.		PT
يا	يا	UC
اخوان	إخوان	OH
والله	والله،	PM
انه	أنه	OH
نظام	نظام	UC
عميل	عميل	UC
لنظام	لنظام	UC
الملالي	الملالي	UC
هؤلاء	هؤلاء.	PM
الاطفال	الأطفال	OH
ارهابيون	إرهابيون	OH
سلفيون	سلفيون	UC
مندسون	مندسون	UC
وعصابات	وعصابات،	PM
مسلحة	مسلحة	UC
يجب	يجب	UC
قتلهم	قتلهم	UC
لانهم	لأنهم	OH
يضعفون	يضعفون	UC
عزيمة	عزيمة	UC
الامة	الأمة	OH
ويضعفون	ويضعفون،	PM
الشعور	الشعور	UC
القومي	القومي	UC
يوهنون	يوهنون	UC
الامة	الأمة	OH
